[Fri Jun 20 16:14:03 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2010.5212374829619x, 2455.699999988079z
[Sun Jun 22 00:52:02 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 2098.038666587083x, 1760.6010662774256z
[Sun Jun 22 00:52:11 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 2126.347015521862x, 1810.4340985337983z
[Sun Jun 22 00:53:08 UTC 2025] XxFran10xX entered captain seat of §l§eCloudskimmer at 2129.026123046875x, 1859.43359375z
[Sun Jun 22 00:53:09 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 2197.0670399476617x, 1861.1500143313735z
[Sun Jun 22 00:54:51 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 2025.0108642578125x, 1872.6075439453125z
[Sun Jun 22 00:56:10 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 2061.1927418503683x, 1738.4452334101022z
[Sun Jun 22 01:09:48 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2114.7647791225468x, 1759.5001561520344z
[Sun Jun 22 01:10:11 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2114.0037312198833x, 1758.3445566442956z
[Mon Aug 04 00:28:47 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1754.7349887581292x, 2163.8010822066867z
[Mon Aug 04 00:29:24 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1763.3817277917917x, 2178.8730776727007z
[Mon Aug 04 00:31:19 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1756.8709430654762x, 2184.1660552194653z
[Mon Aug 04 00:34:21 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1860.1228461793792x, 2190.676880229655z
[Mon Aug 04 00:34:41 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1877.9856192753443x, 2167.189664155471z
[Mon Aug 04 00:37:18 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1914.6025121885252x, 2142.0780635893498z
[Mon Aug 04 00:40:19 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1925.784143030523x, 2101.6885031117718z
[Mon Aug 04 00:40:56 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1927.4019775390625x, 2100.641357421875z
[Mon Aug 04 00:41:20 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1927.4727783203125x, 2100.642578125z
[Mon Aug 04 00:42:25 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1927.44921875x, 1917.144287109375z
[Mon Aug 04 00:50:52 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1127.1328420806149x, 2173.8111537492473z
[Mon Aug 04 00:51:31 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1128.790893970988x, 2174.928327175683z
[Mon Aug 04 00:54:25 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1123.4310490334692x, 2166.0589513961195z
[Mon Aug 04 00:55:34 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1122.0303955078125x, 2165.59130859375z
[Mon Aug 04 18:48:52 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1150.6915399547909x, 2109.7684649141397z
[Mon Aug 04 19:14:37 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1130.1516976433147x, 2130.6686460356204z
[Mon Aug 04 19:14:50 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1123.6929633442421x, 2144.2856227105035z
[Mon Aug 04 19:15:18 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1122.0579833984375x, 2138.09521484375z
[Mon Aug 04 19:15:41 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1128.804931640625x, 2146.9951171875z
[Mon Aug 04 19:16:10 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1130.2387345651848x, 2148.785051273617z
[Mon Aug 04 19:17:04 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1141.1363757713818x, 2179.4238061346427z
[Mon Aug 04 19:46:48 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1143.0616968216611x, 2180.8520520788616z
[Mon Aug 04 19:46:54 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1141.658935546875x, 2179.104736328125z
[Mon Aug 04 19:48:25 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1112.6007080078125x, 2151.122802734375z
[Mon Aug 04 19:48:42 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1105.7314933966277x, 2144.420581982071z
[Mon Aug 04 19:48:52 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1101.1881103515625x, 2138.60302734375z
[Wed Aug 06 10:33:32 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1433.59033203125x, 2030.98974609375z
[Wed Aug 06 11:25:54 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1438.4195556640625x, 2024.048583984375z
[Wed Aug 06 11:26:03 UTC 2025] drefvelin entered captain seat of §l§eCloudskimmer at 1439.4818115234375x, 2024.161376953125z
[Wed Aug 06 12:33:24 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1082.8949595346662x, 2120.4939183676784z
[Wed Aug 06 12:33:57 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1095.9482566579113x, 2070.508035506339z
[Wed Aug 06 12:49:33 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1323.7442829563101x, 2647.08506941917z
[Wed Aug 06 12:52:38 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2050.270263671875x, 2155.859375z
[Wed Aug 06 12:53:28 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2008.130126953125x, 2084.48046875z
[Wed Aug 06 12:54:16 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1315.6478271484375x, 2047.301513671875z
[Wed Aug 06 13:40:53 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.3700835857503x, 2226.287555436198z
[Wed Aug 06 13:41:55 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.11524012562x, 2227.382583647338z
[Wed Aug 06 13:42:35 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.9873046875x, 2226.117431640625z
[Wed Aug 06 13:44:09 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.9873046875x, 2226.117431640625z
[Wed Aug 06 13:44:57 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.9873046875x, 2226.117431640625z
[Wed Aug 06 13:45:24 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1389.9873046875x, 2226.117431640625z
[Wed Aug 06 13:55:24 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1401.9486759927345x, 2081.26090500466z
[Thu Aug 07 21:31:38 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1452.0506137365926x, 1829.0173768165755z
[Sun Aug 10 12:15:41 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2338.5522603473673x, 1523.614681610093z
[Sun Aug 10 12:16:15 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2356.1855519005344x, 1476.1326400273097z
[Mon Aug 11 14:54:57 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2179.543244314537x, 2335.3980421909387z
[Mon Aug 11 14:58:40 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1559.0383151452513x, 1168.521289220171z
[Mon Aug 11 19:24:56 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 2695.98291015625x, 3055.662353515625z
[Sat Aug 23 14:26:09 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 2044.5972892932275x, 1997.2579693880327z
[Sat Aug 23 14:29:11 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1978.6974226355576x, 1968.010638327608z
[Sat Aug 23 14:30:43 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1744.2197265625x, 1993.6796875z
[Sat Aug 23 14:31:10 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1365.6063232421875x, 2169.779296875z
[Sat Aug 23 14:33:05 UTC 2025] drefvelin entered captain seat of §l§eAnti-Air at 1963.5191832864325x, 1709.9144416273755z
[Sat Aug 30 21:39:46 UTC 2025] drefvelin entered captain seat of §l§eIronclad at 2015.887590720746x, 1803.127711697343z
[Sat Aug 30 22:29:38 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1476.910084192759x, 2152.057291509171z
[Sat Aug 30 22:29:54 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1478.8740234375x, 2152.032958984375z
[Sat Aug 30 22:30:26 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 1481.12158203125x, 2141.499267578125z
[Sat Aug 30 22:31:14 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1525.9028431028523x, 2052.3943838632536z
[Sat Aug 30 22:32:39 UTC 2025] drefvelin entered captain seat of §l§eAnti-Air at 1631.4685416247235x, 1830.2424856387022z
[Sat Aug 30 22:33:57 UTC 2025] drefvelin entered captain seat of §l§eGunboat at 1920.2886601536325x, 1892.2229427587233z
[Sat Aug 30 22:34:08 UTC 2025] drefvelin entered captain seat of §l§eGunboat at 1950.1763916015625x, 1880.205078125z
[Sat Aug 30 22:34:13 UTC 2025] drefvelin entered captain seat of §l§eGunboat at 1961.642578125x, 1871.8492431640625z
[Sat Aug 30 22:35:39 UTC 2025] drefvelin entered captain seat of §l§eCruiser at 2085.6084439897973x, 1708.5656215981833z
[Sat Aug 30 22:36:28 UTC 2025] drefvelin entered captain seat of §l§eSimple Locomotive at 2128.033237929475x, 1761.8243884591113z
[Sat Aug 30 22:39:01 UTC 2025] drefvelin entered captain seat of §l§eSimple Locomotive at 2115.8844889955394x, 1761.6588080374538z
[Sat Aug 30 22:39:26 UTC 2025] drefvelin entered captain seat of §l§eSimple Locomotive at 2095.9001788195505x, 1737.390546218617z
[Sat Aug 30 22:40:58 UTC 2025] drefvelin entered captain seat of §l§eSimple Locomotive at 2142.070505819475x, 1724.3149530953192z
[Sat Aug 30 22:41:18 UTC 2025] drefvelin entered captain seat of §l§eBomber at 2094.162807443848x, 1757.719415904394z
[Sat Aug 30 22:43:36 UTC 2025] drefvelin entered captain seat of §l§eSmall Car at 2016.9766430313202x, 1748.8446684786225z
[Sun Aug 31 00:23:04 UTC 2025] drefvelin entered captain seat of §l§eMonoplane at 1801.354794359498x, 2039.9035048307373z
[Sun Aug 31 00:26:53 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1829.113053961796x, 2071.0418900366644z
[Sun Aug 31 00:27:31 UTC 2025] drefvelin entered captain seat of §l§eBiplane at 1705.7548828125x, 1867.451904296875z
[Sun Aug 31 00:28:03 UTC 2025] drefvelin entered captain seat of §l§eFixed Artillery at 1549.3477938716985x, 1999.536654044914z
[Sun Aug 31 00:28:45 UTC 2025] drefvelin entered captain seat of §l§eFixed Artillery at 1548.3495907249555x, 1998.6689000045978z
[Sun Aug 31 00:29:26 UTC 2025] drefvelin entered captain seat of §l§eFixed Artillery at 1550.0458984375x, 1997.9930419921875z
[Sun Aug 31 00:29:39 UTC 2025] drefvelin entered captain seat of §l§eFixed Artillery at 1548.9036962985901x, 1997.8383402649806z
[Sun Aug 31 00:33:05 UTC 2025] drefvelin entered captain seat of §l§eHorse Cart at 1665.15190300861x, 2003.2562521766372z
[Sun Aug 31 00:33:48 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 1640.552990183241x, 2126.387148315554z
[Sun Aug 31 00:35:08 UTC 2025] drefvelin entered captain seat of §l§eTorpedoboat at 2427.274405204056x, 1815.7647759799695z
[Sun Aug 31 00:36:15 UTC 2025] drefvelin entered captain seat of §l§eSloop at 2421.719510710455x, 1836.6203000231244z
[Sun Aug 31 00:36:30 UTC 2025] drefvelin entered captain seat of §l§eSloop at 2446.11279296875x, 1889.27490234375z
[Sun Aug 31 00:37:04 UTC 2025] drefvelin entered captain seat of §l§eSloop at 2645.518310546875x, 1910.7041015625z
[Sun Aug 31 00:37:21 UTC 2025] drefvelin entered captain seat of §l§eSloop at 2730.14599609375x, 1853.8634033203125z
[Sun Aug 31 00:38:05 UTC 2025] drefvelin entered captain seat of §l§eSloop at 2934.883544921875x, 1689.9874267578125z
[Fri Sep 26 14:06:33 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1114.7037660554463x, 2288.7268548071984z
[Fri Sep 26 14:07:09 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1119.8051683376827x, 2287.4460904614407z
[Fri Sep 26 14:07:39 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1259.1044921875x, 2276.91943359375z
[Fri Sep 26 14:08:05 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1397.7479248046875x, 2267.2958984375z
[Fri Sep 26 14:08:42 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1588.7554931640625x, 2209.030029296875z
[Fri Sep 26 14:18:59 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1808.9761962890625x, 1916.879638671875z
[Fri Sep 26 14:19:40 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1807.4165619296073x, 1916.5104095658453z
[Fri Sep 26 14:20:27 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1580.1871337890625x, 1991.063232421875z
[Fri Sep 26 14:21:14 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1555.369140625x, 1998.5118408203125z
[Fri Sep 26 14:21:28 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1560.91748046875x, 1996.981689453125z
[Fri Sep 26 16:44:10 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1531.6270510799109x, 2012.9540195854613z
[Fri Sep 26 17:48:29 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1535.3758544921875x, 2014.4454345703125z
[Fri Sep 26 17:49:04 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1533.4613926071854x, 2013.7249242554833z
[Fri Sep 26 17:49:46 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1323.490478515625x, 2002.1253662109375z
[Fri Sep 26 17:50:43 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1194.7190548562396x, 2005.8873706536351z
[Fri Sep 26 17:51:44 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1241.9287109375x, 2265.58984375z
[Fri Sep 26 17:53:35 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1274.739858598992x, 2290.3984391680283z
[Fri Sep 26 17:54:40 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1276.2663198895464x, 2289.1814022746767z
[Fri Sep 26 17:57:01 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1655.371826171875x, 1956.64697265625z
[Fri Sep 26 18:00:00 UTC 2025] FlippityForj entered captain seat of §l§eBehemoth at 2609.9130859375x, 1851.93896484375z
[Fri Sep 26 18:00:20 UTC 2025] FlippityForj entered captain seat of §l§eBehemoth at 2617.23046875x, 1785.3382568359375z
[Fri Sep 26 18:00:45 UTC 2025] FlippityForj entered captain seat of §l§eBehemoth at 2508.24951171875x, 1723.491455078125z
[Fri Sep 26 18:01:44 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2382.12939453125x, 1680.7440185546875z
[Fri Sep 26 18:02:24 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2345.9490499706944x, 1621.6656534850329z
[Fri Sep 26 18:03:41 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2172.405517578125x, 1267.16455078125z
[Fri Sep 26 18:04:39 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2212.80224609375x, 1520.376708984375z
[Fri Sep 26 18:06:05 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2342.203857421875x, 1941.95751953125z
[Fri Sep 26 18:07:10 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2652.572998046875x, 2114.033203125z
[Fri Sep 26 18:07:41 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2573.347900390625x, 2244.40966796875z
[Fri Sep 26 18:08:07 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2544.34033203125x, 2377.47021484375z
[Fri Sep 26 18:09:24 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2380.331298828125x, 2267.198974609375z
[Sat Sep 27 10:01:58 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 2172.4849657986906x, 2419.564672807858z
[Sat Sep 27 10:03:51 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1919.563232421875x, 2163.488525390625z
[Sat Sep 27 10:06:00 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1281.2547607421875x, 1889.3240966796875z
[Sat Sep 27 10:07:02 UTC 2025] drefvelin entered captain seat of §l§eBehemoth at 1047.21142578125x, 2123.432373046875z
[Mon Sep 29 12:56:52 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 1633.2303344731413x, 2097.5815286006955z
[Mon Sep 29 12:59:33 UTC 2025] drefvelin entered captain seat of §l§eField Artillery at 1633.987429768161x, 2097.972061561603z
[Tue Sep 30 11:05:40 UTC 2025] JustinTheOne entered captain seat of §l§eBiplane at 2107.938908488159x, 1931.6758558572458z
[Sun Oct 12 20:20:05 UTC 2025] kaks123 entered captain seat of §l§eBehemoth at 2639.4210602817684x, 2763.0988310455614z
[Sat Oct 25 12:07:00 UTC 2025] drefvelin entered captain seat of §l§eAnti-Air at 1909.0465879892054x, 2212.5179290416763z
[Wed Dec 17 12:42:44 UTC 2025] drefvelin entered captain seat of §l§eGyrobomber at 4990.484002490856x, 2681.6564887105565z
[Wed Dec 17 12:44:08 UTC 2025] drefvelin entered captain seat of §l§eAnti-Air at 4807.887777106508x, 2687.907906024776z
[Wed Dec 17 12:47:38 UTC 2025] drefvelin entered captain seat of §l§eIronclad at 3063.7490887794556x, 2686.130442066899z
[Wed Dec 17 12:48:10 UTC 2025] drefvelin entered captain seat of §l§eIronclad at 3024.4455953961315x, 2708.010138735357z
[Wed Dec 17 12:49:49 UTC 2025] drefvelin entered captain seat of §l§eIronclad at 2482.64697265625x, 2820.7763671875z
[Wed Dec 17 12:52:21 UTC 2025] drefvelin entered captain seat of §l§eIronclad at 2498.87255859375x, 3127.297119140625z
[Mon Jan 12 22:40:28 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 4047.0610337484895x, 1457.0074631701596z
[Mon Jan 12 22:41:04 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3991.1873067125102x, 1458.6488680867415z
[Mon Jan 12 22:49:33 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3987.572142147423x, 3189.9539672869914z
[Mon Jan 12 22:50:59 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3214.599853515625x, 2220.255615234375z
[Mon Jan 12 22:51:58 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 3049.4842441196038x, 2086.4239943799953z
[Thu Jan 29 10:44:33 UTC 2026] drefvelin entered captain seat of §l§eBehemoth at 4409.582249955458x, 1277.0594105287803z
[Thu Jan 29 10:48:01 UTC 2026] drefvelin entered captain seat of §l§eFixed Artillery at 4562.054771357414x, 2102.3150426217585z
[Thu Jan 29 10:49:10 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4535.217666884173x, 2090.9751257856683z
[Thu Jan 29 10:50:22 UTC 2026] drefvelin entered captain seat of §l§eGyrobomber at 4525.110689559169x, 2034.0383262019247z
[Thu Jan 29 10:51:10 UTC 2026] drefvelin entered captain seat of §l§eGyrobomber at 4450.5380859375x, 2024.111328125z
[Thu Jan 29 10:51:36 UTC 2026] drefvelin entered captain seat of §l§eGyrobomber at 4429.74951171875x, 2011.1279296875z
